topic,question
Computer Networks,The values of parameters for the Stop-and-Wait ARQ protocol are as given below: Bit rate of the transmission channel = 1Mbps Propagation delay from sender to receiver = 0.75 ms Time to process a frame = 0.25ms Number of bytes in the information frame =1980 Number of bytes in the acknowledge frame = 20 Number of overhead bytes in the information frame = 20. Assume that there are no transmission errors. Then the transmission efficiency ( expressed in percentage) of the Stop-and - Wait ARQ protocol for the above parameters is _________( correct to 2 decimal places)
Computer Networks,"A computer network uses polynomials over GF(2) for error checking with 8 bits as information bits and uses x3+x+1 as the generator polynomial to generate the check bits. In this network, the message 01011011 is transmitted as"
Computer Networks,Frames of 1000 bits are sent over a 106 bps duplex link between two hosts. The propagation time is 25 ms. Frames are to be transmitted into this link to maximally pack them in transit (within the link).
Computer Networks,What is the minimum number of bits (I) that will be required to represent the sequence numbers distinctly? Assume that no time gap needs to be given between transmission of two frames.
Computer Networks,The message 11001001 is to be transmitted using the CRC polynomial x3+1 to protect it from errors. The message that should be transmitted is:
Computer Networks,In a token ring network the transmission speed is 107 bps and the propagation speed is 200 meters/μs. The 1-bit delay in this network is equivalent to:
Computer Networks,"In Ethernet CSMA/CD, the special bit sequence transmitted by media access management to handle collision is called"
Computer Networks,Consider a 128×103 bits/second satellite communication link with one way propagation delay of 150 milliseconds. Selective retransmission(repeat) protocol is used on this link to send data with a frame size of 1 kilobyte. Neglect the transmission time of acknowledgement. The minimum number of bits required for the sequence number field to achieve 100% utilization is ________.
Computer Networks,"For the IEEE802.11 MAC protocol for wireless communication,which of the following statements is/are TRUE?"
Computer Networks,"For the IEEE802.11 MAC protocol for wireless communication,which of the following statements is/are TRUE? I. At least three non-overlapping channels are available for transmissions. II. The RTS-CTS mechan is misused for collision detection. III. Unicast frames are ACKed."
Computer Networks,A network has a data transmission bandwidth of 20×106 bits per second. It uses CSMA/CD in the MAClayer. The maximum signal propagation time from one node to another node is 40 microseconds. The minimum size of a frame in the network is ______ bytes.
Computer Networks,"In an Ethernet local area network,which one of the following statements is TRUE?"
Computer Networks,"A sender uses the Stop-and Wait ARQ protocol for reliable transmission of frames. Frames are of size 1000bytes and the transmission rate at the sender is 80Kbps(1Kbps=1000 bits/second). Size of anacknowledgement is 100bytes and the transmission rate at the receiver is 8Kbps. The one-way propagation delay is 100milliseconds. Assuming no frame is lost, the sender throughput is _____bytes/second."
Computer Networks,"A certain population of ALOHA users manages to generate 70 request/sec. If the time is slotted in units of 50 msec, then channel load would be"
Computer Networks,In CRC if the data unit is 100111001 and the divisor is 1011 then what is dividend at the receiver?
Computer Networks,"Two hosts are connected via a packet switch with 107 bits per second links. Each link has a propagation delay of 20 microseconds. The switch begins forwarding a packet 35 microseconds after it receives the same. If 10000 bits of data are to be transmitted between the two hosts using a packet size of 5000 bits, the time elapsed between the transmission of the first bit of data and the reception of the last bit of the data in microseconds is____________."
Computer Networks,"Consider a network connecting two systems located 8000 kilometers apart. The bandwidth of the network is 500x106 bits per second. The propagation speed of the media is 4x106 meters per second. It is needed to design a Go-Back-N sliding window protocol for this network. The average packet size is 107 bits. The network is to be used to its full capacity. Assume that processing delays at nodes are negligible. Then, the minimum size in bits of the sequence number field has to be"
Computer Networks,"Consider a CSMA/CD network that transmits data at a rate of 100 Mbps (108 bits per second) over a 1 km (kilometer) cable with no repeaters. If the minimum frame size required for this network is 1250 bytes, what is the signal speed (km/sec) in the cable?"
Computer Networks,"A link has a transmission speed of 106 bits/sec. It uses data packets of size 1000 bytes each. Assume that the acknowledgment has negligible transmission delay, and that its propagation delay is the same as the data propagation delay. Also assume that the processing delays at nodes are negligible. The efficiency of the stop-and-wait protocol in this setup is exactly 25%. The value of the one-way propagation delay (in milliseconds) is ________."
Computer Networks,"Consider a LAN with four nodes S1​,S2​,S3​andS4​ . Time is divided into fixed-size slots, and a node can begin its transmission only at the beginning of a slot. A collision is said to have occurred if more than one node transmit in the same slot. The probabilities of generation of a frame in a time slot by S1​,S2​,S3​andS4​ are 0.1, 0.2, 0.3 and 0.4, respectively. The probability of sending a frame in the first slot without any collision by any of these four stations is _____________."
Computer Networks,Suppose that the stop-and-wait protocol is used on a link with a bit rate of 64 kilobits per second and 20 milliseconds propagation delay. Assume that the transmission time for the acknowledgement and the processing time at nodes are negligible. Then the minimum frame size in bytes to achieve a link utilization of at least 50% is______________.
Computer Networks,Which of the following is not a valid multicast MAC address?
Computer Networks,"A mechanism or technology used in Ethernet by which two connected devices choose common transmission parameters such as speed, duplex mode and flow control is called"
Computer Networks,"A bit-stuffing based framing protocol uses an 8-bit delimiter pattern of 01111110. If the output bit-string after stuffing is 01111100101, then the input bit-string is"
Computer Networks,"Consider the store and forward packet switched network given below. Assume that the bandwidth of each link is 106 bytes / sec. A user on host A sends a file of size 103 bytes to host B through routers R1 and R2 in three different ways. In the first case a single packet containing the complete file is transmitted from A to B. In the second case, the file is split into 10 equal parts, and these packets are transmitted from A to B. In the third case, the file is split into 20 equal parts and these packets are sent from A to B. Each packet contains 100 bytes of header information along with the user data. Consider only transmission time and ignore processing, queuing and propagation delays. Also assume that there are no errors during transmission. Let T1, T2 and T3 be the times taken to transmit the file in the first, second and third case respectively. Which one of the following is CORRECT?"
Computer Networks,"Consider a selective repeat sliding window protocol that uses a frame size of 1 KB to send data on a 1.5 Mbps link with a one-way latency of 50 msec. To achieve a link utilization of 60%, the minimum number of bits required to represent the sequence number field is ________."
Computer Networks,"Consider a token ring network with a length of 2km having 10 stations including a monitoring station. The propagation speed of the signal is 2x108 m/s and the token transmission time is ignored. If each station is allowed to hold the token for 2 μsec, the minimum time for which the monitoring station should wait (in μsec) before assuming that the token is lost is _______."
Computer Networks,"What will be the efficiency of a Stop and Wait protocol, if the transmission time for a frame is 20ns and the propagation time is 30ns?"
Computer Networks,"If the frame to be transmitted is 1101011011 and the CRC polynomial to be used for generating checksum is x4+x+1, than what is the transmitted frame?"
Computer Networks,Ethernet layer-2 switch is a network element type which gives.
Computer Networks,How many check bits are required for 16 bit data word to detect 2 bit errors and single bit correction using hamming code?
Computer Networks,"Determine the maximum length of the cable (in km) for transmitting data at a rate of 500 Mbps in an Ethernet LAN with frames of size 10,000 bits. Assume the signal speed in the cable to be 2,00,000 km/s."
Computer Networks,"Consider a source computer (S) transmitting a file of size 106 bits to a destination computer (D) over a network of two routers (R1 and R2) and three links (L1, L2, and L3). L1 connects S to R1; L2 connects R1 to R2; and L3 connects R2 to D. Let each link be of length 100 km. Assume signals travel over each link at a speed of 108 meters per second. Assume that the link bandwidth on each link is 1Mbps. Let the file be broken down into 1000 packets each of size 1000 bits. Find the total sum of transmission and propagation delays in transmitting the file from S to D?"
Computer Networks,The hamming distance between the octets of 0xAA and 0x55 is
Computer Networks,The network protocol which is used to get MAC address of a node by providing IP address is
Computer Networks,Which of the following is a MAC address?
Computer Networks,Frames of 1000 bits are sent over a 106 bps duplex link between two hosts. The propagation time is 25ms. Frames are to be transmitted into this link to maximally pack them in transit (within the link).What is the minimum number of bits (l) that will be required to represent the sequence numbers distinctly? Assume that no time gap needs to be given between transmission of two frames.
Computer Networks,"Frames of 1000 bits are sent over a 106 bps duplex link between two hosts. The propagation time is 25ms. Frames are to be transmitted into this link to maximally pack them in transit (within the link).Suppose that the sliding window protocol is used with the sender window size of 2I, where l is the number of bits identified in the earlier part and acknowledgements are always piggy backed. After sending 2I frames, what is the minimum time the sender will have to wait before starting transmission of the next frame? (Identify the closest choice ignoring the frame processing time.)"
Computer Networks,Let G(x) be the generator polynomial used for CRC checking. What is the condition that should be satisfied by G(x) to detect odd number of bits in error?
Computer Networks,Which Project 802 standard provides for a collision-free protocol?
Computer Networks,Which of the following transmission media is not readily suitable to CSMA operation?
Computer Networks,"In Ethernet, the source address field in the MAC frame is the _______ address."
Computer Networks,"Data transmitted on a link uses the following 2D parity scheme for error detection: Each sequence of 28 bits is arranged in a 4×7 matrix (rows r0​ through r3​, and columns d7​ through d1​) and is padded with a column d0​ and row r4​ of parity bits computed using the Even parity scheme. Each bit of column d0​ (respectively, row r4​) gives the parity of the corresponding row (respectively, column). These 40 bits are transmitted over the data link.The table shows data received by a receiver and has n corrupted bits. What is the minimum possible value of n?"
Computer Networks,The minimum frame size required for a CSMA/CD based computer network running at 1Gbps on a 200m cable with a link speed of 2×108m/sec is:
Computer Networks,"A 1 Mbps satellite link connects two ground stations. The altitude of the satellite is 36,504 km and speed of the signal is 3×108m/s. What should be the packet size for a channel utilization of 25% for a satellite link using go-back-127 sliding window protocol?Assume that the acknowledgment packets are negligible in size and that there are no errors during communication."
Computer Networks,A computer on a 10Mbps network is regulated by a token bucket. The token bucket is filled at a rate of 2Mbps. It is initially filled to capacity with 16Megabits. What is the maximum duration for which the computer can transmit at the full 10Mbps?
Computer Networks,An Ethernet hub
Computer Networks,"Consider a token ring topology with N stations (numbered 1 to N) running token ring protocol where the stations are equally spaced. When a station gets the token it is allowed to send one frame of fixed size. Ring latency is tp​, while the transmission time of a frame is tt​. All other latencies can be neglected.The maximum utilization of the token ring when tt​ = 5 ms, tp​ = 3 ms, N = 15 is:"
Computer Networks,"Consider a token ring topology with N stations (numbered 1 to N) running token ring protocol where the stations are equally spaced. When a station gets the token it is allowed to send one frame of fixed size. Ring latency is tp​, while the transmission time of a frame is tt​. All other latencies can be neglected.The maximum utilization of the token ring when tt​ = 3 ms, tp​ = 5 ms, N = 10 is:"
Computer Networks,"A broadcast channel has 10 nodes and total capacity of 10 Mbps. It uses polling for medium access. Once a node finishes transmission, there is a polling delay of 80 μs to poll the next node. Whenever a node is polled, it is allowed to transmit a maximum of 1000 bytes. The maximum throughput of the broadcast channel is:"
Computer Networks,"An error correcting code has the following code words: 00000000, 00001111, 01010101, 10101010, 11110000. What is the maximum number of bit errors that can be corrected?"
Computer Networks,"The distance between two stations M and N is L kilometers. All frames are K bits long. The propagation delay per kilometer is t seconds. Let R bits/second be the channel capacity. Assuming that processing delay is negligible, the minimum number of bits for the sequence number field in a frame for maximum utilization, when the sliding window protocol is used, is:"
Computer Networks,The message 11001001 is to be transmitted using the CRC polynomial x3+1 to protect it from errors. The message that should be transmitted is:
Computer Networks,In a token ring network the transmission speed is 107 bps and the propagation speed is 200 metres/μs. The 1-bit delay in this network is equivalent to:
Computer Networks,There are n stations in a slotted LAN. Each station attempts to transmit with a probability p in each time slot. What is the probability that ONLY one station transmits in a given time slot?
Computer Networks,"On a wireless link, the probability of packet error is 0.2. A stop-and-wait protocol is used to transfer data across the link. The channel condition is assumed to be independent of transmission to transmission. What is the average number of transmission attempts required to transfer 100 packets?"
Computer Networks,"A link of capacity 100 Mbps is carrying traffic from a number of sources. Each source generates an on-off traffic stream; when the source is on, the rate of traffic is 10 Mbps, and when the source is off, the rate of traffic is zero. The duty cycle, which is the ratio of on-time to off-time, is 1:2. When there is no buffer at the link, the minimum number of sources that can be multiplexed on the link so that link capacity is not wasted and no data loss occurs is S1. Assuming that all sources are synchronized and that the link is provided with a large buffer, the maximum number of sources that can be multiplexed so that no data loss occurs is S2. The values of S1 and S2 are, respectively"
Computer Networks,A router has two full-duplex Ethernet interfaces each operating at 100 Mb/s. Ethernet frames are at least 84 bytes long (including the Preamble and the Inter-Packet-Gap). The maximum packet processing time at the router for wirespeed forwarding to be possible is (in micro-seconds)
Computer Networks,"Suppose that it takes 1 unit of time to transmit a packet (of fixed size) on a communication link. The link layer uses a window flow control protocol with a window size of N packets. Each packet causes an ack or a nak to be generated by the receiver, and ack/nak transmission times are negligible. Further, the round trip time on the link is equal to N units. Consider time i > N. If only acks have been received till time i(no naks), then the goodput evaluated at the transmitter at time i(in packets per unit time) is"
Computer Networks,"Consider the diagram shown below where a number of LANs are connected by (transparent) bridges. In order to avoid packets looping through circuits in the graph, the bridges organize themselves in a spanning tree. First, the root bridge is identified as the bridge with the least serial number. Next, the root sends out (one or more) data units to enable the setting up of the spanning tree of shortest paths from the root bridge to each bridge.Each bridge identifies a port (the root port) through which it will forward frames to the root bridge. Port conflicts are always resolved in favour of the port with the lower index value. When there is a possibility of multiple bridges forwarding to the same LAN (but not through the root port), ties are broken as follows: bridges closest to the root get preference and between such bridges, the one with the lowest serial number is preferred.et host H1 send out a broadcast ping packet. Which of the following options represents the correct for forwarding table on B3?"
Computer Networks,"Consider the diagram shown below where a number of LANs are connected by (transparent) bridges. In order to avoid packets looping through circuits in the graph, the bridges organize themselves in a spanning tree. First, the root bridge is identified as the bridge with the least serial number. Next, the root sends out (one or more) data units to enable the setting up of the spanning tree of shortest paths from the root bridge to each bridge.Each bridge identifies a port (the root port) through which it will forward frames to the root bridge. Port conflicts are always resolved in favour of the port with the lower index value. When there is a possibility of multiple bridges forwarding to the same LAN (but not through the root port), ties are broken as follows: bridges closest to the root get preference and between such bridges, the one with the lowest serial number is preferred.For the given connection of LANs by bridges, which one of the following choices represents the depth first traversal of the spanning tree of bridges?"
Computer Networks,"Station A needs to send a message consisting of 9 packets to Station B using a siding window (window size 3) and go-back-n error control strategy. All packets are ready and immediately available for transmission. If every 5th packet that A transmits gets lost (but no acks from B ever get lost), then what is the number of packets that A will transmit for sending the message to B ?"
Computer Networks,Station A uses 32 byte packets to transmit messages to Station B using a sliding window protocol. The round trip delay between A and B is 80 milliseconds and the bottleneck bankwidth on the path between A and B is 128 kbps. What is the optimal window size that A should use ?
Computer Networks,Consider the following message M = 1010001101. The cyclic redundancy check (CRC) for this message using the divisor polynomial x5+x4+x2+1 is :
Computer Networks,"In a TDM medium access control bus LAN, each station is assigned one time slot per cycle for transmission. Assume that the length of each time slot is the time to transmit 100bits plus the end-to-end propagation delay. Assume a propagation speed of 2×108m/sec. The length of the LAN is 1 km with a bandwidth of 10Mbps. The maximum number of stations that can be allowed in the LAN so that the throughput of each station can be 2/3Mbpsis"
Computer Networks,"A channel has a bit rate of 4 kbps and one-way propagation delay of 20 ms. The channel uses stop and wait protocol. The transmission time of the acknowledgment frame is negligible. To get a channel efficiency of at least 50%, the minimum frame size should be"
Computer Networks,A network with CSMA/CD protocol in the MAC layer is running at 1Gbps over a 1km cable with no repeaters. The signal speed in the cable is 2×108m/sec. The minimum frame size for this network should be:
Computer Networks,Which of the following statements is TRUE about CSMA/CD:
Computer Networks,Suppose the round trip propagation delay for a 10 Mbps Ethernet having 48-bit jamming signal is 46.4 μs. The minimum frame size is
Computer Networks,"In a packet switching network, packets are routed from source to destination along a single path having two intermediate nodes. If the message size is 24 bytes and each packet contains a header of 3 bytes, then the optimum packet size is:"
Computer Networks,The maximum window size for data transmission using the selective reject protocol with n-bit frame sequence numbers is:
Computer Networks,"Consider a simplified time slotted MAC protocol, where each host always has data to send and transmits with probability p = 0.2 in every slot. There is no backoff and one frame can be transmitted in one slot. If more than one host transmits in the same slot, then the transmissions are unsuccessful due to collision. What is the maximum number of hosts which this protocol can support if each host has to be provided a minimum throughput of 0.16 frames per time slot?"
Computer Networks,"Consider a parity check code with three data bits and four parity check bits.Three of the Code Words are 0101011,1001101 and 1110001.Which of the following are also code words?I. 0010111II. 0110110 III. 1011010 IV. 0111010"
Computer Networks,"A 20 Kbps satellite link has a propagation delay of 400 ms. The transmitter employs the ""go back n ARQ"" scheme with n set to 10. Assuming that each frame is 100 byte long, what is the maximum data rate possible?"
Computer Networks,"Consider a 10 Mbps token ring LAN with a ring latency of 400μs. A host that needs to transmit seizes the token. Then it sends a frame of 1000 bytes, removes the frame after it has circulated all around the ring, and finally releases the token. This process is repeated for every frame. Assuming that only a single host wishes to transmit, the effective data rate is"
Computer Networks,"In a sliding window ARQ scheme, the transmitter's window size is N and the receiver's window size is M. The minimum number of distinct sequence numbers required to ensure correct operation of the ARQ scheme is"
Computer Networks,"In a data link protocol, the frame delimiter flag is given by 0111. Assuming that bit stuffing is employed, the transmitter sends the data sequence 01110110 as"
Computer Networks,"Consider three IP networks A, B and C. Host HA in network A sends messages each containing 180 bytes of application data to a host HC in network C. The TCP layer prefixes a 20 byte header to the message. This passes through an intermediate net?work B. The maximum packet size, including 20 byte IP header, in each network is A : 1000 bytes B : 100 bytes C : 1000 bytes. The network A and B are connected through a 1 Mbps link, while B and C are connected by a 512 Kbps link (bps = bits per second).What is the rate at which application data is transferred to host Hc? Ignore errors, acknowledgements, and other overheads."
Computer Networks,"A and B are the only two stations on an Ethernet. Each has a steady queue of frames to send. Both A and B attempt to transmit a frame, collide, and A wins the first backoff race. At the end of this successful transmission by A, both A and B attempt to transmit and collide. The probability that A wins the second backoff race is"
Computer Networks,"Host A is sending data to host B over a full duplex link. A and B are using the sliding window protocol for flow control. The send and receive window sizes are 5 packets each. Data packets (sent only from A to B) are all 1000 bytes long and the transmission time for such a packet is 50 μs . Acknowledgment packets (sent only from B to A), are very small and require negligible transmission time. The propagation delay over the link is 200 μs. What is the maximum achievable throughput in this communication ?"
Computer Networks,A 2 km long brodcast LAN has 107 bps bandwidth and uses CSMA/CD. The signal travels along the wire at 2*108m/s. What is the minimum packet size that can be used on this network ?
Computer Networks,"Start and stop bits do not contain any ""information"" but are used in serial communication for"
Computer Networks,Which one of the following CIDR prefixes exactly represents the range of IP addresses 10.12.2.0 to 10.12.3.255?
Computer Networks,Which of the following fields of an IP header is/are always modified by any router before it forwards the IP packet?
Computer Networks,Node X has a TCP connection open to node Y. The packets from X to Y go through an intermediate IP router R. Ethernet switch S is the first switch on the network path between X and R. Consider a packet sent from X to Y over this connection.Which of the following statements is/are TRUE about the destination IP and MAC addresses on this packet at the time it leaves X?
Computer Networks,"Consider sending an IP datagram of size 1420 bytes (including 20 bytes of IP header) from a sender to a receiver over a path of two links with a router between them. The first link (sender to router) has an MTU (Maximum Transmission Unit) size of 542 bytes, while the second link (router to receiver) has an MTU size of 360 bytes. The number of fragments that would be delivered at the receiver is _____"
Computer Networks,"Consider the entries shown below in the forwarding table of an P router. Each entry consists of an IP prefix and the corresponding next hop router for packets whose destination IP address matches the prefix. The notation ""/N"" in a prefix indicates a subnet mask with the most significant N bits set to 1.This router forwards 20 packets each to 5 hosts. The IP addresses of the hosts are 10.1.1.16, 10.1.1.72, 10.1.1.132, 10.1.1.191, and 10.1.1.205. The number of packets forwarded via the next hop router R2 is"
Computer Networks,Which of the following fields is/are modified in the IP header of a packet going out of a network address translation (NAT) device from an internal network to an external network?
Computer Networks,The forwarding table of a router is shown below.A packet addressed to a destination address 200.150.68.118 arrives at the router. It will be forwarded to the interface with ID _____.
Computer Networks,Which of the following statements is/are INCORRECT about the OSPF (Open Shortest Path First) routing protocol used in the Internet?
Computer Networks,"Consider a network with three routers P, Q, R shown in the figure below. All the links have cost of unity.The routers exchange distance vector routing information and have converged on the routing tables, after which the link Q-R fails. Assume that P and Q send out routing updates at random times, each at the same average rate. The probability of a routing loop formation (rounded off to one decimal place) between P and Q, leading to count-to-infinity problem, is ____"
Computer Networks,Consider routing table of an organization's router shown below:Which of the following prefixes in CIDR notation can be collectively used to correctly aggregate all of the subnets in the routing table?
Computer Networks,"Consider an enterprise network with two Ethernet segments, a web server and a firewall, connected via three routers as shown below.What is the number of subnets inside the enterprise network?"
Computer Networks,"Consider a computer network using the distance vector routing algorithm in its network layer. The partial topology of the network is shown below.The objective is to find the shortest-cost path from the router R to routers P and Q. Assume that R does not initially know the shortest routes to P and Q. Assume that R has three neighboring routers denoted as X, Y and Z. During one iteration, R measures its distance to its neighbors X, Y, and Z as 3, 2 and 5, respectively. Router R gets routing vectors from its neighbors that indicate that the distance to router P from routers X, Y and Z are 7, 6 and 5, respectively. The routing vector also indicates that the distance to router Q from routers X, Y and Z are 4, 6 and 8 respectively. Which of the following statement(s) is/are correct with respect to the new routing table o R, after updation during this iteration?"
Computer Networks,Which of the following classes of languages can validate an IPv4 address in dotted decimal format?It is to be ensured that the decimal values lie between 0 and 255.
Computer Networks,An organization requires a range of IP address to assign one to each of its 1500 computers. The organization has approached an Internet Service Provider (ISP) for this task. The ISP uses CIDR and serves the requests from the available IP address space 202.61.0.0/17. The ISP wants to assign an address space to the organization which will minimize the number of routing entries in the ISP?s router using route aggregation. Which of the following address spaces are potential candidates from which the ISP can allot any one of the organization?
Computer Networks,Consider the following statements about the functionality of an IP based router. I. A router does not modify the IP packets during forwarding. II. It is not necessary for a router to implement any routing protocol. III. A router should reassemble IP fragments if the MTU of the outgoing link is larger than the size of the incoming IP packet. Which of the above statements is/are TRUE?
